Frequent Words,Frequency
inquiri,34
dispo,28
attend,16
wit,40
age,18
rule,54
payment,23
anoth,70
pradesh,18
held,94
prior,20
u.p,17
discuss,33
permiss,24
situat,14
end,13
close,38
first,152
avoid,11
duti,57
verifi,97
reveal,25
famili,20
disput,42
medic,32
neglig,31
e,15
initi,23
exhaust,11
condit,39
ensur,19
right,120
accu,393
reflect,15
diari,16
lead,16
deci,40
hon'bl,134
find,46
grievanc,19
and/or,15
writ,136
interf,30
altern,25
remedi,63
avail,60
approach,48
supra,51
clear,40
thereaft,36
unless,18
hou,62
move,14
directli,17
list,32
j,81
technolog,139
tambaram,12
chennai,48
inspector,42
women,50
third,96
transfer,47
no.1,34
http,24
second,36
fair,14
prosecutor,28
*,50
content,77
came,50
ipc,120
fal,28
repres,17
no.2,37
home,51
threaten,15
harass,50
life,19
cover,18
mean,41
januari,18
vide,32
anticipatori,34
bail,165
purpo,72
photograph,47
phone,27
receipt,28
yet,22
no.3,18
commun,52
seen,13
threat,29
friend,14
though,24
hand,45
especi,13
final,27
internet,34
j.,11
no.7,17
septemb,23
haryana,18
crm-m-32442-2021,37
....,18
arshdeep,16
alia,34
lali,14
sidhu,51
harmandeep,11
download,70
14-09-2021,34
01:32:26,34
narind,17
pal,18
anr,64
120-b,11
moga,41
jaslovepreet,12
regular,26
similar,17
argu,24
gurtej,16
wife,15
kaur,17
elect,16
pajero,15
bear,33
driven,16
vehicl,73
sit,45
car,35
bolero,22
wherea,11
back,21
seat,14
unknown,21
front,12
fourth,16
creat,49
consist,13
decea,17
harmind,28
stop,13
intent,44
kill,13
supplementari,27
version,21
baseb,14
start,22
hit,11
challan,18
chief,43
annexur,49
keep,22
permit,13
conclu,23
insert,13
left,18
leg,15
thu,59
drive,31
incid,33
injur,13
injuri,68
fall,15
could,49
summon,19
raju,12
number,70
nagar,17
narinderp,20
road,27
lal,13
apart,13
attach,13
examin,69
till,17
husband,76
independ,12
fellow,13
differ,61
away,15
got,39
civil,22
run,11
carri,24
say,15
dt,16
accord,43
death,15
occur,11
plea,18
citi,11
wherein,34
session,15
attribut,33
implic,11
damag,13
appli,44
dismiss,31
immedi,15
four,14
abra,14
cm,16
l,17
declar,18
belong,25
side,22
multipl,24
extend,15
11.,22
12.,18
13.,17
14.,13
15.,12
open,26
moreov,12
cour,36
apex,62
beyond,16
effect,48
absolut,11
titl,12
custodi,43
peru,29
evid,136
bench,32
principl,35
posit,23
id,17
#,24
formal,11
light,15
herein,33
convict,14
appeal,15
pass,52
prefer,11
impugn,26
admiss,37
collect,24
guilt,20
innoc,12
none,13
similarli,15
set,24
base,40
cid,14
depo,95
true,45
group,20
aspect,11
deserv,12
merit,18
treat,16
like,27
sought,25
concess,11
noth,20
constru,11
express,53
recov,11
v.,167
contend,19
crpc,54
maintain,30
co-accu,11
common,20
feel,15
certif,21
relea,58
furnish,25
bond,14
took,18
substanti,12
prove,94
s.,26
know,31
hatr,19
pend,32
privat,19
pvt,16
juli,20
decemb,12
corpor,13
march,20
media,17
ashok,16
august,32
cs,46
comm,46
.....,11
plaintiff,73
ms.,12
defend,59
m.,15
suit,31
copyright,28
fake,19
signatur,104
digit,87
joshi,11
amount,102
electron,47
etc,30
previou,17
statu,24
ld,19
known,18
busi,16
constitut,115
continu,20
infr,23
domain,24
remain,11
dnr,13
websit,21
develop,17
credit,11
card,20
ip,12
address,41
contain,33
brought,13
liberti,13
sever,15
user,32
fraudul,30
sum,14
total,12
transact,91
lakh,17
establish,59
ndoh,15
solut,11
ltd.,46
1st,19
2nd,18
hmj,12
jyoti,11
subject,36
rbi,13
data,16
wp,31
manag,21
divi,12
sc,32
sbi,11
pertain,20
claim,29
rs,38
18/10/2021,12
project,19
plead,21
fraudster,15
care,13
cancel,14
e-mail,62
breach,21
hack,20
integr,12
scheme,11
unauthor,17
upi,17
lie,26
liabl,25
compen,11
withdrawn,12
otp,12
execut,23
valid,18
loss,19
help,11
liabil,42
admit,24
net,11
facil,15
intend,12
certain,29
system,38
seven,13
work,40
valu,12
determin,16
polici,20
exist,18
rever,13
discret,21
interest,28
burden,12
defin,12
employ,12
ought,11
frame,11
deni,14
access,46
therebi,16
alway,13
doubt,28
correct,17
toward,15
school,27
went,12
west,19
bengal,16
relief,11
aro,12
answer,15
sheet,25
demand,13
deposit,17
go,15
context,12
pertin,35
consequ,18
certifi,16
rajasthan,34
jalor,20
jaipur,13
govt,12
maharashtra,13
therein,22
nct,12
june,11
articl,107
w.p,75
crl,75
1624/2020,67
chandra,12
whatev,16
perform,15
damini,66
yadav,68
date:13.06.2022,66
17:13:05,66
speech,85
societi,27
hate,54
polit,12
religi,17
religion,31
fundament,29
f,30
instant,23
metropolitan,22
acmm,19
mandamu,30
sanction,79
arisen,12
forc,11
incit,14
seiz,19
k.,18
serv,16
violenc,19
word,61
ident,12
harm,14
peopl,32
settl,27
extract,17
mind,37
discharg,15
anil,13
servant,27
difficult,11
alter,11
absenc,13
invok,18
contrari,13
challeng,18
air,28
categor,24
bar,21
karnataka,16
punish,73
kind,11
confer,13
narayana,12
entertain,29
legisl,11
?,19
reddi,11
see,13
para,17
citizen,13
compel,11
disturb,14
discrimin,12
restrict,18
freedom,24
defam,11
entitl,14
prohibit,30
suggest,12
inher,14
contract,14
offen,12
father,35
guarant,15
test,12
statut,13
intermediari,45
institut,33
misu,17
network,13
imprison,17
studi,11
charact,18
appel,13
trade,15
normal,11
chang,16
egmor,14
marriag,36
facebook,13
photo,47
obscen,40
messag,60
bansal,15
rupe,17
`,29
seizur,17
tamper,25
telangana,13
hyderabad,13
crl.p,12
kl,24
w.p.no.22037,24
channel,15
facto,13
counter,13
nos.1,21
derogatori,12
-do-,11
owner,11
pt,25
intimid,13
cc,14
imag,16
destroy,14
quash,34
kerala,31
daughter,57
passport,19
foreign,22
girl,52
mumbai,70
agreement,26
ernakulam,20
manjeri,11
crl.m.c.nos.2217/2022,13
2893/2022,15
5362/2022,16
alappuzha,14
crl.m.c,11
consult,20
programm,12
sexual,21
scienc,17
class,11
i.t,11
cd,24
bengaluru,30
comput,68
¥éê¯ï,18
cavà,18
ezàäý,27
czàg°,16
à,28
è,16
¢£áapà,12
dvzàäý,11
egàäªà,14
c²èã®,14
«,38
ªàaiàä¹ì£à,12
//www.judis.nic.in,16
depict,14
defamatori,12
resourc,14
softwar,108
shreya,17
singhal,17
bombay,12
“,17
publish,13
fine,11
”,15
exhibit,12
shown,14
mala,11
fide,12
defacto,30
expert,11
partner,11
bangalor,14
vulgar,13
print,11
explicit,13
anyth,16
c.c.no.3999/2011,77
ofenc,34
dvd,21
manjula,14
courier,14
p.w.1,12
mahazar,17
chief-examin,13
efect,43
cross-examin,52
p.w.2,43
disprov,11
unequivoc,11
p.w.3,13
£à£àß,17
ªàävàäû,12
jazàgé,11
¸àzàj,15
jazàä,23
p.w.4,16
p.w.7,14
ನ,14
laptop,20
p.w.84,15
printout,18
p.w.15,11
p.w.16,20
ಸದರ,12
p.w.19,34
rounak,11
pil,29
hacj,26
msm,26
_80_,26
teaser,26
film,17
jesu,13
nene,14
devunni,13
•,20
engin,12
b.n.p.pariba,23
sundaram,44
kensoft,23
iit,14
territori,24
infotech,21
fifth,86
ken-hf,20
thiruvananthapuram,13
visa,11
c.c.no.14616/2014,17
Frequent Numbers,Frequency
1,219
2022,76
20,27
1995,14
1973,34
156,101
36,22
154,37
2020,95
2021,82
15,80
8,55
12,29
30,14
10,49
19,45
354,12
376,12
509,22
45,12
1860,17
2,245
3,256
4,129
2015,51
6,73
2014,22
7,82
2008,29
482,40
2000,39
506,33
600,13
67,36
13,28
173,15
34,51
5,59
9,55
11,28
14,22
16,21
17,12
18,21
2009,24
2013,31
21,23
22,12
24,12
25,28
26,18
27,11
29,12
420,25
2019,41
2012,39
226,34
2023,32
66,87
200,15
196,15
505,41
2016,18
439,12
35,13
1998,11
2011,14
2010,15
504,20
292,15
507,11
201,12
